dataset_name,adacapnetbatchstandard,regularnetbatchstandard,adacapnetbatchresblock,regularnetbatchresblock,CAT,adacapnetglu,adacapnetselu,Kernel,regularnetresblock,adacapnetstandard,adacapnetresblock,NuSVM,regularnetglu,adacapnetfastselu,regularnetselu,regularnetfastselu,adacapnetfast,regularnetstandard,RF,XRF,MARS,regularnetfast,xgb_sklearn,CATfast,XGBoost,Lasso,Enet,LGBM,CART,Ridge,Intercept
Abaloneabalone.data_task_R_target_-1,266.22245192527765,271.22908382415767,241.0235845088959,263.7629335880279,68.73786151409149,7.18890495300293,5.940118408203125,0.4371562719345093,5.614412188529968,5.3362655401229855,5.132685899734497,0.5858345985412597,4.7002705335617065,2.3577746152877808,3.4778924942016602,1.9273690223693847,1.7669813871383666,2.432653307914734,1.200484609603882,0.649670672416687,0.30142827033996583,1.0346721887588501,0.40093810558319093,0.8494003772735595,0.28935139179229735,0.07061936855316157,0.06897625923156733,0.09773037433624263,0.020172548294067328,0.0222547054290771,0.017221450805664017
Appliances energy predictionenergydata_complete.csv_task_R_target_2,254.44326493740087,272.7914592027664,257.47269082069397,285.1498193025589,312.34262816905976,33.56924836635589,30.474865889549257,22.583159613609315,31.151313424110413,28.704482674598694,29.683820915222167,26.64417459964752,11.357325291633606,8.02573528289795,8.542425656318665,4.168526697158813,6.56875786781311,6.463135170936584,25.176842880249023,4.729387521743774,22.652401328086853,2.347127890586853,6.2858452796936035,1.0776523113250733,2.7472528219223022,0.2818325042724609,0.28011465072631836,0.4640126943588257,0.42751810550689695,0.032935953140258746,0.017470455169677674
Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv_task_R_target_5,274.11034259796145,282.91093876361845,293.2608762979508,314.7094260692596,196.85297279357908,139.57733747959136,136.20451135635375,190.24825339317323,138.32213332653046,133.10021996498108,135.7078066110611,140.98600392341615,30.28329918384552,32.062337803840634,23.81837248802185,9.516929459571838,31.752886033058168,22.120909690856934,15.361836266517638,12.625068211555481,11.531877517700195,8.220154094696046,4.000961637496948,1.5691905260086059,3.408076047897339,0.9166806936264038,1.261074137687683,0.5541056156158447,0.23917615413665766,0.07456030845642085,0.016305923461914028
Communities and Crimecommunities.data_task_R_target_-1,260.9282977342606,265.5699873685837,259.35648143291473,272.64052500724796,306.9015298128128,6.100946998596191,5.1693294763565065,0.07387273311614986,4.314219236373901,4.0718570947647095,3.687238073348999,0.5995278596878052,4.921465873718262,2.421893310546875,3.7550734519958495,2.201706337928772,1.5381810188293457,2.2493258237838747,5.131162166595459,2.283588981628418,0.4414142370223999,0.8927326679229737,1.6814905643463134,0.9873410224914551,1.023732852935791,0.21790094375610347,0.19522128105163575,0.3371831655502319,0.08797259330749506,0.027846956253051714,0.016817522048950147
Computer Hardwaremachine.data_task_R_target_-1,264.8369106531143,238.03714232444764,266.47521185874933,270.5464874982834,15.249029612541198,5.121599435806274,3.647576117515564,0.00298988819122309,4.28065447807312,3.978291893005371,3.6631448745727537,0.00408725738525387,3.8003918886184693,1.3868113040924073,2.374468731880188,1.1102477788925171,1.6007349967956543,2.253539776802063,0.12113442420959468,0.08075640201568597,0.02164669036865229,0.9490299701690674,0.03452627658843991,0.698121976852417,0.03133611679077143,0.03426287174224849,0.03412885665893549,0.012662148475646928,0.00139575004577632,0.00256826877593988,0.016812753677368127
Concrete Slump Testslump_test.data_task_R_target_-1,238.07661154270176,255.164799284935,230.43375785350798,256.03553109169013,23.887273383140563,4.69057879447937,3.4217903852462768,0.00247933864593502,4.337127161026001,3.9933118343353273,3.6969414710998536,0.0018420696258544297,3.645583701133728,1.1541695833206176,2.276203227043152,1.0108870029449464,1.5431432008743287,2.2659271478652956,0.11325771808624263,0.07496302127838131,0.041357946395873965,0.9214018821716309,0.030450248718261692,0.6855356216430664,0.02623844146728511,0.04272782802581785,0.041101574897766044,0.00952880382537837,0.0013517856597899801,0.0033334732055663703,0.017245602607727
Concrete Slump Testslump_test.data_task_R_target_-2,237.78783655166626,251.69836287498478,237.83191540241245,251.0572863578797,24.33157181739807,4.449306988716126,3.290575933456421,0.005331897735595651,4.3645484209060665,3.9157804250717163,3.573720383644104,0.0017597675323485797,3.583168601989746,1.072504472732544,2.131794047355652,0.9624786376953125,1.5485719442367554,2.268505001068115,0.11234073638916009,0.07351865768432611,0.05465641021728511,0.9183998584747315,0.03056213855743404,0.6802848339080809,0.02771596908569331,0.03421049118041988,0.03347773551940914,0.009662938117980911,0.00135264396667477,0.00266716480255122,0.018058395385742144
Concrete Slump Testslump_test.data_task_R_target_-3,234.40387272834784,254.3276299476623,250.91786661148072,269.2756084918976,24.204724955558778,4.454114317893982,3.327353668212891,0.0028639793395995898,4.156516766548156,3.7502822160720823,3.423123860359192,0.0017164945602416697,3.6312665224075316,1.1290594816207886,2.210106039047241,1.0464799642562865,1.4946630716323852,2.131961798667908,0.11055343151092525,0.07384309768676753,0.034187698364257765,0.913380765914917,0.030498838424682567,0.6710741281509399,0.025225663185119575,0.0368463277816772,0.0355399370193481,0.00952327251434321,0.0013556718826293502,0.0038475275039672394,0.017098522186279254
Electrical Grid Stability Simulated Data Data_for_UCI_named.csv_task_R_target_-2,250.16594531536103,270.77597725391394,217.0078547000885,277.4074003696442,158.44901554584504,14.940987825393677,13.061005067825317,4.071378564834594,11.791299295425414,10.728514146804809,10.798106217384339,6.466839098930359,7.359744429588318,5.222129678726196,5.952973556518555,3.840934085845947,2.772857737541199,3.011492466926575,5.508770704269409,2.2301239013671874,0.8384119272232056,1.2736975431442261,2.489873242378235,0.8661141157150268,1.7706227779388428,0.06515288352966306,0.06466820240020749,0.26807475090026855,0.09314420223236082,0.021884679794311475,0.016635966300964315
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_5,256.5868656396866,246.78190953731533,246.61921443939204,268.35575172901156,47.8536171913147,5.048395800590515,3.884924364089966,0.00897006988525385,4.388339257240295,4.078634357452392,3.7079580307006834,0.0427427768707275,4.065702867507935,1.4910835027694702,2.782551980018616,1.418756079673767,1.6364291906356812,2.3461707830429077,0.24358618259429932,0.19789218902587888,0.4268465995788574,1.0265293359756469,0.08987541198730467,0.7652818918228149,0.1146647214889526,0.0605399370193481,0.06311182975769039,0.03606674671173092,0.00399343967437737,0.02175958156585689,0.017596960067748982
