,MSE,R2
adacapSELU,1.6413060212433482e-05,0.987400770287051
regularSELU,2.699784970370879e-05,0.9792755217022221
adacapGLU,2.1286643236909005e-05,0.9836596402810829
regularGLU,2.288285670044485e-05,0.9824343319085007
adacapRES,5.173181796471087e-05,0.9602888766890585
regularRES,6.158522655181629e-05,0.952725061249544
adacap,3.5082500083456084e-05,0.9730694659170765
regular,4.211197622852026e-05,0.967673398177907
